Change Request,Description,CR type,Process,WF type,Date completed,Month
433652,AFF_ZFIN_Execution-Ready_P30_Plant 4030,MDG,Production & launch,MDG CR,18-Feb-25,Feb-25
433672,AFF_ZFIN_Execution-Ready_P30_Plant 4030,MDG,Production & launch,MDG CR,18-Feb-25,Feb-25
433721,AFF_ZFIN_Execution-Ready_P30_Plant 4030,MDG,Production & launch,MDG CR,18-Feb-25,Feb-25
475142,Data push to P30 WF 24968,MDG,Material master creation,P30,21-Feb-25,Feb-25
475368,Data push to P30 WF 25017,MDG,Material master creation,P30,21-Feb-25,Feb-25
475374,Enhance MRP data for plant F231 WF 25017,MDG,Material master creation,P30,21-Feb-25,Feb-25
477538,KAU_ZFIN_UpdateNonGMP_P30_SalesOrgExt,MDG,Production & launch,MDG CR,24-Feb-25,Feb-25
477702,AFF_ZFIN_Update_P30_LocalEAN_AltUoM,MDG,Production & launch,MDG CR,24-Feb-25,Feb-25
413450,WF 900005947 - New FIN material,MDG,Material master creation,LCM WF,25-Feb-25,Feb-25
444511,WF 900005960 - New SEM Envrac material,MDG,Material master creation,LCM WF,25-Feb-25,Feb-25
477469,AFF_ZFIN_Affiliate_Update_P98_Plant 1341,MDG,Production & launch,MDG CR,25-Feb-25,Feb-25
477718,AFF_ZFIN_Affiliate_Update_P98_Plant 1341,MDG,Production & launch,MDG CR,25-Feb-25,Feb-25
480704,Data Push to P30 WF 25019,MDG,Material master creation,P30,25-Feb-25,Feb-25
480705,Enhance MRP data for Plant B731 WF 25019,MDG,Material master creation,P30,25-Feb-25,Feb-25
485619,Data push to P30 for plant 1001 & 2670 CR 481673,MDG,Material master creation,P30,27-Feb-25,Feb-25
482213A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,27-Feb-25,Feb-25
481022,AFF_ZFIN_Execution-Ready_P30_Plant 2670,MDG,Production & launch,MDG CR,28-Feb-25,Feb-25
486744,Enhance MRP Data for plant A411 CR 481673,MDG,Material master creation,P30,28-Feb-25,Feb-25
486746,Enhance Client datat for CR 481673,MDG,Material master creation,P30,28-Feb-25,Feb-25
485752A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,03-Mar-25,Mar-25
500445,Update MM - WF 25020,MDG,Maintanence,MDG CR,04-Mar-25,Mar-25
480291,DEPLOY SEMP CR477016,MDG,Material master creation,LCM WF,05-Mar-25,Mar-25
482102,WF 900005967 - New FIN material,MDG,Material master creation,LCM WF,06-Mar-25,Mar-25
482105,WF 900005966 - New FIN material,MDG,Material master creation,LCM WF,06-Mar-25,Mar-25
510127,Data Push to P30 for CR 490397,MDG,Material master creation,P30,06-Mar-25,Mar-25
489701A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,07-Mar-25,Mar-25
481912,TOLL_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,MDG CR,10-Mar-25,Mar-25
506660,AFF_ZFIN_Affiliate_Update_P30_Plant 2671,MDG,Production & launch,MDG CR,10-Mar-25,Mar-25
541363,Enhance data for plant A411 WF 25036,MDG,Material master creation,P30,10-Mar-25,Mar-25
541654,Enhance data for A411 for CR481666,MDG,Material master creation,P30,10-Mar-25,Mar-25
541915,Enhance data for A411 for CR481666,MDG,Material master creation,P30,10-Mar-25,Mar-25
541281,Data Push to P30 WF 25036,MDG,Material master creation,P30,10-Mar-25,Mar-25
541283,Enhance data for plant A411 WF 25036,MDG,Material master creation,P30,10-Mar-25,Mar-25
541285,Enhance data for A411 WF 25036,MDG,Material master creation,P30,10-Mar-25,Mar-25
546370,Data Push to P30 for CR 482190 LCM,MDG,Material master creation,P30,11-Mar-25,Mar-25
546427,Push to P30 WF 25040,MDG,Material master creation,P30,11-Mar-25,Mar-25
547147,Push data to P30 CR 483623 LCM,MDG,Material master creation,P30,11-Mar-25,Mar-25
550624,Planning ready for CR 483624,MDG,Material master creation,LCM WF,12-Mar-25,Mar-25
516683,A511 Create ZBUL C3bBb CPMF,MDG,Maintanence,MDG CR,13-Mar-25,Mar-25
559953,Planning ready CR 486625,MDG,Material master creation,LCM WF,14-Mar-25,Mar-25
100001642,MDG CR 480469,Make,Production master data,R10,17-Mar-25,Mar-25
100001644,MDG CR 481025,Make,Production master data,R10,17-Mar-25,Mar-25
100001548,MDG CR 481645,Make,Production master data,R10,17-Mar-25,Mar-25
584900,Planning ready CR 510936,MDG,Material master creation,LCM WF,18-Mar-25,Mar-25
584282,Data Push to P30 for CR 486899 LCM,MDG,Material master creation,P30,18-Mar-25,Mar-25
585030,Push data to P30 for CR 500359,MDG,Material master creation,P30,18-Mar-25,Mar-25
595791,Updates Related to WF 490189,MDG,Material master creation,P30,20-Mar-25,Mar-25
593012,Data push to P30 for CR 516576 LCM,MDG,Material master creation,P30,20-Mar-25,Mar-25
484121,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,MDG CR,21-Mar-25,Mar-25
503605,CMO_ZSEM_Ready for Execution_P30 (SEMP)_Plant 1001,MDG,Production & launch,MDG CR,21-Mar-25,Mar-25
480469,DEPLOY FINP CR480590,MDG,Material master creation,LCM WF,22-Mar-25,Mar-25
481025,DEPLOY FINP CR480897,MDG,Material master creation,LCM WF,22-Mar-25,Mar-25
486899,DEPLOY FINP CR486658,MDG,Material master creation,LCM WF,22-Mar-25,Mar-25
490397,DEPLOY FINP CR325895,MDG,Material master creation,LCM WF,22-Mar-25,Mar-25
546847,DEPLOY FINP CR546735,MDG,Material master creation,LCM WF,22-Mar-25,Mar-25
486899A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,22-Mar-25,Mar-25
615114,CMO_ZSEM_Non-GMP_P30_Plant 1001_Update CoO,MDG,Maintanence,MDG CR,25-Mar-25,Mar-25
619393,TSL update,MDG,Maintanence,MDG CR,25-Mar-25,Mar-25
618132,Data push to P30 CR 593504 LCM,MDG,Material master creation,P30,25-Mar-25,Mar-25
623322,Material master update,MDG,Maintanence,MDG CR,26-Mar-25,Mar-25
482190,DEPLOY FINP CR482169,MDG,Material master creation,LCM WF,27-Mar-25,Mar-25
483623,DEPLOY FINP CR482213,MDG,Material master creation,LCM WF,27-Mar-25,Mar-25
615804,AFF_ZFIN_Execution-Ready_P30_Plant 2672_Costing update,MDG,Production & launch,MDG CR,27-Mar-25,Mar-25
626044,Planning ready MDG CR 593626,MDG,Material master creation,LCM WF,27-Mar-25,Mar-25
626717,TSL update from ALPIN,MDG,Maintanence,MDG CR,27-Mar-25,Mar-25
626901,TSL update from ALPIN,MDG,Maintanence,MDG CR,27-Mar-25,Mar-25
482190A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,27-Mar-25,Mar-25
599903,DEPLOY FINP CR593617,MDG,Material master creation,LCM WF,01-Apr-25,Apr-25
600044,DEPLOY FINP CR592960,MDG,Material master creation,LCM WF,01-Apr-25,Apr-25
614202,DEPLOY FINP CR603233,MDG,Material master creation,LCM WF,01-Apr-25,Apr-25
644744,Planning ready CR 614848,MDG,Material master creation,LCM WF,01-Apr-25,Apr-25
644914,Planning ready CR 614848,MDG,Material master creation,LCM WF,01-Apr-25,Apr-25
645366,Plant status update for A513,MDG,Maintanence,MDG CR,01-Apr-25,Apr-25
516576,DEPLOY ZFIN CR489701,MDG,Material master creation,LCM WF,02-Apr-25,Apr-25
614848,DEPLOY FINP CR603614,MDG,Material master creation,LCM WF,02-Apr-25,Apr-25
649730,Updates related to WF 25077,MDG,Material master creation,P30,02-Apr-25,Apr-25
649868,Updates related to WF 600045,MDG,Material master creation,P30,02-Apr-25,Apr-25
100001884,MDG CR 619165,Make,Production master data,R10,02-Apr-25,Apr-25
100001883,MDG CR 619165,Make,Production master data,R10,02-Apr-25,Apr-25
593504,DEPLOY FINP CR588703,MDG,Material master creation,LCM WF,04-Apr-25,Apr-25
660683,Updates related to WF 599971,MDG,Material master creation,P30,04-Apr-25,Apr-25
593504A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,04-Apr-25,Apr-25
500359,DEPLOY FIN CR485752,MDG,Material master creation,LCM WF,07-Apr-25,Apr-25
593539,DEPLOY FINP CR593454,MDG,Material master creation,LCM WF,07-Apr-25,Apr-25
607656,DEPLOY FINP CR602795,MDG,Material master creation,LCM WF,07-Apr-25,Apr-25
607657,DEPLOY FINP CR602857,MDG,Material master creation,LCM WF,07-Apr-25,Apr-25
619386,WF 900006026 - New FIN material,MDG,Material master creation,LCM WF,07-Apr-25,Apr-25
593539A,A411 BoM & Recipe creation,Make,Production master data,Mass upload,07-Apr-25,Apr-25
100001930,A511 Create DPI Tron 50MG CPMF,Make,Production master data,G15,07-Apr-25,Apr-25
100001901,A511 Update DPI Ocre SC HC CPMF,Make,Production master data,G15,07-Apr-25,Apr-25
100001912,MDG CR 619430,Make,Production master data,R10,07-Apr-25,Apr-25
619439,WF 900006026 - New FIN material,MDG,Material master creation,LCM WF,08-Apr-25,Apr-25
619525,WF 900006026 - New FIN material,MDG,Material master creation,LCM WF,08-Apr-25,Apr-25
626235,WF 900006041 - New FIN material,MDG,Material master creation,LCM WF,08-Apr-25,Apr-25
626306,WF 900006041 - New FIN material,MDG,Material master creation,LCM WF,08-Apr-25,Apr-25
626375,WF 900006041 - New FIN material,MDG,Material master creation,LCM WF,08-Apr-25,Apr-25
626792,WF 900006041 - New FIN material,MDG,Material master creation,LCM WF,08-Apr-25,Apr-25
100001869,A511 Update Mosunetuzumab 1MG CPMF,Make,Production master data,G15,08-Apr-25,Apr-25
100001921,A511 Update DPI GLofit 2.5MG CPMF,Make,Production master data,G15,08-Apr-25,Apr-25
683097,Updates Related to WF 25169,MDG,Material master creation,P30,09-Apr-25,Apr-25
100002074,MDG CR 590638,Make,Production master data,R10,09-Apr-25,Apr-25
100002071,MDG CR 588036,Make,Production master data,R10,09-Apr-25,Apr-25
100002039,MDG CR 585806,Make,Production master data,R10,09-Apr-25,Apr-25
618804,CMO_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,MDG CR,10-Apr-25,Apr-25
618805,CMO_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,MDG CR,10-Apr-25,Apr-25
623293,WF 900006033 - New FIN material,MDG,Material master creation,LCM WF,10-Apr-25,Apr-25
640414,Request for KADCYLA FR,MDG,Maintanence,MDG CR,10-Apr-25,Apr-25
684537,A511 Update MRP ZINT Tras,MDG,Maintanence,MDG CR,10-Apr-25,Apr-25
100002052,MGD CR 640414,Make,Production master data,R10,11-Apr-25,Apr-25
100002106,MDG CR 618591,Make,Production master data,R10,11-Apr-25,Apr-25
672868,VERIFY FINP CR615260,MDG,Development,LCM WF,14-Apr-25,Apr-25
672946,VERIFY FINP CR615075,MDG,Development,LCM WF,14-Apr-25,Apr-25
683766,VERIFY FINP CR645855,MDG,Development,LCM WF,14-Apr-25,Apr-25
100002018,MDG CR 618581,Make,Production master data,R10,14-Apr-25,Apr-25
631616,WF 900006044 - New FIN  material,MDG,Material master creation,LCM WF,15-Apr-25,Apr-25
688230,TOLL_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,MDG CR,16-Apr-25,Apr-25
695957,KAU_Extension to S.Org 1004_1001_P30,MDG,Production & launch,MDG CR,16-Apr-25,Apr-25
697078,TOLL_ZSEM_Update Shipping Info_P30_Plant 1001,MDG,Production & launch,MDG CR,16-Apr-25,Apr-25
100002191,A514 Update Perjeta recipes,Make,Production master data,G37,21-Apr-25,Apr-25
645213,P30# 900006048,MDG,Material master creation,LCM WF,22-Apr-25,Apr-25
645331,P30WF 900006048,MDG,Material master creation,P30,22-Apr-25,Apr-25
687326,WF 900006070 - Enspryng Request - AI 180mg launch SE-FI,MDG,Material master creation,LCM WF,22-Apr-25,Apr-25
694144,Create FINP UNI-30 NMRMC0162523,MDG,Material master creation,P30,22-Apr-25,Apr-25
100002245,MDG CR 645213,Make,Production master data,R10,23-Apr-25,Apr-25
100002244,MDG CR645331,Make,Production master data,R10,23-Apr-25,Apr-25
683207,Enspryng Request - AI 180mg launch FR,MDG,Maintanence,MDG CR,24-Apr-25,Apr-25
683248,Enspryng Request - AI 180mg launch DE,MDG,Maintanence,MDG CR,24-Apr-25,Apr-25
687245,Enspryng Request - AI 180mg launch US,MDG,Maintanence,MDG CR,24-Apr-25,Apr-25
710632,Updates Related to WF 25252,MDG,Material master creation,P30,24-Apr-25,Apr-25
710780,Updating MRP data,MDG,Material master creation,P30,24-Apr-25,Apr-25
710690,Data Push to P30 WF 25303,MDG,Material master creation,P30,24-Apr-25,Apr-25
900002993,costing lot size update for 10235135,MDG,Production & launch,CR 999,24-Apr-25,Apr-25
900002992,update e132  plant status for 11033128,MDG,Production & launch,CR 999,24-Apr-25,Apr-25
100002271,MDG CR 631544,Make,Production master data,R10,24-Apr-25,Apr-25
100002229,MDG CR 25216,Make,Production master data,R10,24-Apr-25,Apr-25
707132,VERIFY FINP CR683689,MDG,Development,LCM WF,25-Apr-25,Apr-25
100002296,MDG CR 677431,Make,Production master data,R10,25-Apr-25,Apr-25
100002299,MDG CR 676880,Make,Production master data,R10,25-Apr-25,Apr-25
100002129,MDG CR 677175,Make,Production master data,R10,25-Apr-25,Apr-25
707746,VERIFY FINP CR 691873,MDG,Development,LCM WF,26-Apr-25,Apr-25
708153,Create SEMP BY NMRMC0162542,MDG,Material master creation,P30,26-Apr-25,Apr-25
709435,VERIFY ZFIN CR 677813,MDG,Development,LCM WF,26-Apr-25,Apr-25
718512,Plant status update for J331,MDG,Maintanence,MDG CR,26-Apr-25,Apr-25
718513,Updates for plant A411,MDG,Maintanence,MDG CR,26-Apr-25,Apr-25
100002340,MDG CR 645595,Make,Production master data,R10,28-Apr-25,Apr-25
100002324,MDG CR 691536,Make,Production master data,R10,28-Apr-25,Apr-25
717923,Create FINP FR-CLIN NMRMC0162548,MDG,Material master creation,P30,29-Apr-25,Apr-25
717929,Create FINP AT NMRMC0162553,MDG,Material master creation,P30,29-Apr-25,Apr-25
717972,Create FINP FR-CLIN NMRMC0162552,MDG,Material master creation,P30,29-Apr-25,Apr-25
721913,Updates Related to WF 25260,MDG,Material master creation,P30,29-Apr-25,Apr-25
720463,Data Transfer to P30 for CR 717856,MDG,Material master creation,P30,29-Apr-25,Apr-25
605025,Request for XOFLUZA 80MG 1TAFI (P30 WF 900006012),MDG,Maintanence,MDG CR,30-Apr-25,Apr-25
720462,VERIFY FINP CR717856,MDG,Development,LCM WF,30-Apr-25,Apr-25
723045,ZPRM sales org extension,MDG,Maintanence,MDG CR,30-Apr-25,Apr-25
100002228,A511 Create DPI BFVT6654A CSC UPSM,Make,Production master data,G15,30-Apr-25,Apr-25
100002361,MDG CR 717942,Make,Production master data,R10,30-Apr-25,Apr-25
100002360,MDG CR 717849,Make,Production master data,R10,30-Apr-25,Apr-25
100002249,MDG CR 717856,Make,Production master data,R10,30-Apr-25,Apr-25
717994,VERIFY SEMP CR707919,MDG,Development,LCM WF,01-May-25,May-25
720652,VERIFY FINP CR717849,MDG,Development,LCM WF,01-May-25,May-25
720653,VERIFY FINP CR717942,MDG,Development,LCM WF,01-May-25,May-25
722823,Create FINP GCA-30 NMRMC0162579,MDG,Material master creation,P30,01-May-25,May-25
723378,ZPRM sales org extension,MDG,Maintanence,MDG CR,01-May-25,May-25
723421,ZPRM sales org extension,MDG,Maintanence,MDG CR,01-May-25,May-25
723422,ZPRM sales org extension,MDG,Maintanence,MDG CR,01-May-25,May-25
723574,Create FINP KZ-EEU NMRMC0162587,MDG,Material master creation,P30,01-May-25,May-25
723510,Datat transfer to P30 WF25324,MDG,Material master creation,P30,01-May-25,May-25
100002302,A511 Create Notch2 Placebo CPMF,Make,Production master data,G15,01-May-25,May-25
723544,Create FINP GB NMRMC0162559,MDG,Material master creation,P30,02-May-25,May-25
723651,ZPRM sales org extension,MDG,Maintanence,MDG CR,02-May-25,May-25
723661,ZPRM sales org extension,MDG,Maintanence,MDG CR,02-May-25,May-25
900002994,update costing lot size for 11033325,MDG,Production & launch,CR 999,02-May-25,May-25
100002363,A511 Create/Retire DPI Atezo Pl CPMF,Make,Production master data,G15,02-May-25,May-25
100002363,MDG CR 590168,Make,Production master data,G50,02-May-25,May-25
723792,VERIFY FINP CR722770,MDG,Development,LCM WF,05-May-25,May-25
723793,VERIFY FINP CR722998,MDG,Development,LCM WF,05-May-25,May-25
727327,Create FINP NL NMRMC0162591,MDG,Material master creation,P30,05-May-25,May-25
100002364,MDG CR 723257,Make,Production master data,R10,05-May-25,May-25
727127,VERIFY FINP CR723257,MDG,Development,LCM WF,06-May-25,May-25
727390,Create FINP PH NMRMC0162593,MDG,Material master creation,P30,06-May-25,May-25
729029,VERIFY FINP CR727239,MDG,Development,LCM WF,06-May-25,May-25
732086,AFF_ZFIN_Affiliate_Update_P30_Plant 2840,MDG,Production & launch,MDG CR,07-May-25,May-25
100002380,A513: MRA G6 Create Recipe Thaw/Solera,Make,Production master data,G25,07-May-25,May-25
729411,CMO_ZSEM_Ready for Execution_P30 (SEMP)_Plant 1001,MDG,Production & launch,MDG CR,08-May-25,May-25
729685,VERIFY FINP CR727377,MDG,Development,LCM WF,08-May-25,May-25
729921,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,MDG CR,08-May-25,May-25
731930,A511 Update MES System Dist and MRP ZSEC Notch2 Placebo CPMF,MDG,Maintanence,MDG CR,08-May-25,May-25
735424,INC14471562 - Plant I931 - Extend Sloc RET1,MDG,Maintanence,MDG CR,08-May-25,May-25
735511,INC14471562 - Plant I931 - Extend Sloc RET1,MDG,Maintanence,MDG CR,08-May-25,May-25
900002996,description - unflag del for pir,MDG,Production & launch,CR 999,08-May-25,May-25
730482,VERIFY FINP CR 722821,MDG,Development,LCM WF,09-May-25,May-25
732269,Create PAIP NMRMC0162582,MDG,Material master creation,P30,09-May-25,May-25
737282,Create_OMP_Tlane,MDG,Maintanence,MDG CR,09-May-25,May-25
100002383,A513: MRA G6 US Create Process Recipe,Make,Production master data,G25,09-May-25,May-25
100002277,A515_Create AOQ Kit recipe CAPA-002893,Make,Production master data,G41,09-May-25,May-25
100002339,A514 Add Gcode to Insp Phase CA-180655,Make,Production master data,G37,11-May-25,May-25
731770,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,MDG CR,12-May-25,May-25
735722,Create FINP KR NMRMC0162606,MDG,Material master creation,P30,12-May-25,May-25
739895,Create FINP SA NMRMC0162610,MDG,Material master creation,P30,12-May-25,May-25
900003180,retirement at client level,MDG,Production & launch,CR 999,12-May-25,May-25
100002384,A513: Actemra G6 SS & MP Create Recipe,Make,Production master data,G25,12-May-25,May-25
100002385,A511 Create Tenecteplase DPI CPMF,Make,Production master data,G15,12-May-25,May-25
100002394,MDG CR 590168,Make,Production master data,G50,12-May-25,May-25
739960,Create_OMP_Tlane,MDG,Maintanence,MDG CR,13-May-25,May-25
741894,VERIFY_FINP_CR737737,MDG,Development,LCM WF,13-May-25,May-25
